S No.,Date,App Name,Usage (in Seconds),Launch Count,is Monitoring,is SystemApp,Package Name
377,2022/07/02,Drive,40,4,Yes,No,com.google.android.apps.docs
378,2022/07/03,Drive,34,2,Yes,No,com.google.android.apps.docs
379,2022/07/04,The Hindu ePaper,114,2,Yes,No,com.epaper.thehindu.android
380,2022/07/03,Galaxy Store,67,3,Yes,No,com.sec.android.app.samsungapps
381,2022/07/04,Paytm,0,1,Yes,No,net.one97.paytm
382,2022/07/04,Galaxy Store,11,1,Yes,No,com.sec.android.app.samsungapps
383,2022/07/02,Samsung Cloud,20,3,No,Yes,com.samsung.android.scloud
384,2022/07/04,Samsung Free,122,5,No,Yes,com.samsung.android.app.spage
385,2022/07/03,Chrome,4065,26,Yes,No,com.android.chrome
386,2022/07/04,Chrome,2349,24,Yes,No,com.android.chrome
387,2022/07/02,Samsung Free,0,1,No,Yes,com.samsung.android.app.spage
388,2022/07/02,Gallery,54,6,Yes,No,com.sec.android.gallery3d
389,2022/07/03,Gallery,41,3,Yes,No,com.sec.android.gallery3d
390,2022/07/04,Gallery,65,5,Yes,No,com.sec.android.gallery3d
391,2022/07/02,Galaxy Store,87,7,Yes,No,com.sec.android.app.samsungapps
392,2022/07/03,Quick Share,1,1,No,Yes,com.samsung.android.app.sharelive
393,2022/07/04,Package installer,6,4,No,Yes,com.google.android.packageinstaller
394,2022/07/03,Package installer,21,7,No,Yes,com.google.android.packageinstaller
395,2022/07/02,Package installer,69,18,No,Yes,com.google.android.packageinstaller
396,2022/07/02,SoundAlive,11,1,No,Yes,com.sec.android.app.soundalive
397,2022/07/03,Wallpaper and style,33,2,No,Yes,com.samsung.android.app.dressroom
