S No.,Date,App Name,Usage (in Seconds),Launch Count,is Monitoring,is SystemApp,Package Name
90,2022/07/20,Physics Wallah,72,1,Yes,No,xyz.penpencil.physicswala
91,2022/07/15,SoundAlive,23,5,No,Yes,com.sec.android.app.soundalive
92,2022/07/20,Gallery,16,5,Yes,No,com.sec.android.gallery3d
93,2022/07/15,Finder,43,12,Yes,No,com.samsung.android.app.galaxyfinder
94,2022/07/16,Finder,47,6,Yes,No,com.samsung.android.app.galaxyfinder
95,2022/07/20,Naukri.com,3,1,Yes,No,naukriApp.appModules.login
96,2022/07/19,Calculator,9,1,Yes,No,com.sec.android.app.popupcalculator
97,2022/07/21,Gallery,28,3,Yes,No,com.sec.android.gallery3d
98,2022/07/15,Samsung text-to-speech engine,5,2,No,Yes,com.samsung.SMT
99,2022/07/17,JioCloud,412,4,Yes,No,jio.cloud.drive
100,2022/07/15,Keep notes,1,1,Yes,No,com.google.android.keep
101,2022/07/18,Files by Google,60,3,Yes,No,com.google.android.apps.nbu.files
102,2022/07/21,Video Player,9159,4,No,Yes,com.samsung.android.video
103,2022/07/19,Finder,18,6,Yes,No,com.samsung.android.app.galaxyfinder
104,2022/07/17,Finder,19,6,Yes,No,com.samsung.android.app.galaxyfinder
105,2022/07/18,Keep notes,216,10,Yes,No,com.google.android.keep
106,2022/07/18,Finder,36,12,Yes,No,com.samsung.android.app.galaxyfinder
107,2022/07/19,Contacts,11,1,Yes,No,com.samsung.android.app.contacts
108,2022/07/16,Contacts,21,2,Yes,No,com.samsung.android.app.contacts
109,2022/07/20,Finder,2,1,Yes,No,com.samsung.android.app.galaxyfinder
110,2022/07/21,Google,42,3,Yes,No,com.google.android.googlequicksearchbox
111,2022/07/17,Contacts,28,1,Yes,No,com.samsung.android.app.contacts
112,2022/07/21,Finder,34,13,Yes,No,com.samsung.android.app.galaxyfinder
113,2022/07/19,Naukri.com,338,4,Yes,No,naukriApp.appModules.login
114,2022/07/18,Naukri.com,23,2,Yes,No,naukriApp.appModules.login
115,2022/07/15,System UI,40,2,No,Yes,com.android.systemui
116,2022/07/17,Package installer,10,2,No,Yes,com.google.android.packageinstaller
117,2022/07/16,Package installer,1,1,No,Yes,com.google.android.packageinstaller
118,2022/07/16,Google,31,2,Yes,No,com.google.android.googlequicksearchbox
119,2022/07/19,Permission controller,2,2,No,Yes,com.google.android.permissioncontroller
120,2022/07/21,Android System,3,1,No,Yes,android
121,2022/07/20,Android System,2,1,No,Yes,android
122,2022/07/15,Google,71,7,Yes,No,com.google.android.googlequicksearchbox
123,2022/07/18,Google,9,2,Yes,No,com.google.android.googlequicksearchbox
124,2022/07/18,Where is my Train,4,1,Yes,No,com.whereismytrain.android
125,2022/07/15,Where is my Train,2567,77,Yes,No,com.whereismytrain.android
126,2022/07/16,Where is my Train,269,15,Yes,No,com.whereismytrain.android
127,2022/07/15,Permission controller,16,7,No,Yes,com.google.android.permissioncontroller
128,2022/07/17,Permission controller,3,2,No,Yes,com.google.android.permissioncontroller
129,2022/07/16,Permission controller,3,4,No,Yes,com.google.android.permissioncontroller
130,2022/07/21,Package installer,13,1,No,Yes,com.google.android.packageinstaller
131,2022/07/20,LinkedIn,758,1,Yes,No,com.linkedin.android
132,2022/07/18,Android System,8,3,No,Yes,android
133,2022/07/17,Android System,5,2,No,Yes,android
134,2022/07/19,Android System,2,3,No,Yes,android
135,2022/07/16,Android System,35,7,No,Yes,android
136,2022/07/15,Android System,1,1,No,Yes,android
137,2022/07/21,Twitter,1152,12,Yes,No,com.twitter.android
138,2022/07/20,Twitter,852,13,Yes,No,com.twitter.android
139,2022/07/19,Gallery,5,1,Yes,No,com.sec.android.gallery3d
140,2022/07/21,Permission controller,1,3,No,Yes,com.google.android.permissioncontroller
141,2022/07/16,Twitter,2875,25,Yes,No,com.twitter.android
142,2022/07/15,Twitter,2021,38,Yes,No,com.twitter.android
143,2022/07/18,Twitter,1407,17,Yes,No,com.twitter.android
144,2022/07/17,Twitter,1758,25,Yes,No,com.twitter.android
145,2022/07/19,MyJio,4,1,Yes,No,com.jio.myjio
146,2022/07/19,Twitter,2133,21,Yes,No,com.twitter.android
147,2022/07/15,MyJio,324,7,Yes,No,com.jio.myjio
148,2022/07/15,Gallery,916,14,Yes,No,com.sec.android.gallery3d
149,2022/07/16,Gallery,61,4,Yes,No,com.sec.android.gallery3d
150,2022/07/17,Gallery,83,6,Yes,No,com.sec.android.gallery3d
151,2022/07/15,IRCTC Rail Connect,185,6,Yes,No,cris.org.in.prs.ima
152,2022/07/15,Paytm,90,2,Yes,No,net.one97.paytm
153,2022/07/15,Photos,111,1,Yes,No,com.google.android.apps.photos
154,2022/07/16,Paytm,123,9,Yes,No,net.one97.paytm
155,2022/07/17,Paytm,83,8,Yes,No,net.one97.paytm
156,2022/07/18,Paytm,28,3,Yes,No,net.one97.paytm
157,2022/07/19,Paytm,43,6,Yes,No,net.one97.paytm
158,2022/07/21,Google Play services,9,2,No,Yes,com.google.android.gms
159,2022/07/15,Google Play services,16,3,No,Yes,com.google.android.gms
160,2022/07/16,Files,4,3,No,Yes,com.google.android.documentsui
161,2022/07/17,Google Play services,2,1,No,Yes,com.google.android.gms
162,2022/07/21,Sunrise,9,1,Yes,No,mobi.lockdown.sunrise
163,2022/07/19,Google Play services,1,1,No,Yes,com.google.android.gms
164,2022/07/15,Wallpaper and style,25,3,No,Yes,com.samsung.android.app.dressroom
165,2022/07/19,Files,8,4,No,Yes,com.google.android.documentsui
166,2022/07/15,Separate app sound,24,1,No,Yes,com.samsung.android.setting.multisound
167,2022/07/20,Paytm,190,8,Yes,No,net.one97.paytm
168,2022/07/15,Settings Suggestions,40,11,No,Yes,com.android.settings.intelligence
169,2022/07/15,Telegram,124,9,Yes,No,org.telegram.messenger
170,2022/07/15,Video Player,2519,10,No,Yes,com.samsung.android.video
171,2022/07/18,Telegram,124,4,Yes,No,org.telegram.messenger
172,2022/07/19,Telegram,21,1,Yes,No,org.telegram.messenger
173,2022/07/16,Telegram,85,1,Yes,No,org.telegram.messenger
174,2022/07/17,Telegram,39,2,Yes,No,org.telegram.messenger
175,2022/07/15,Sunrise,159,7,Yes,No,mobi.lockdown.sunrise
176,2022/07/17,Sunrise,91,1,Yes,No,mobi.lockdown.sunrise
177,2022/07/18,Sunrise,90,2,Yes,No,mobi.lockdown.sunrise
178,2022/07/15,Maps,148,4,Yes,No,com.google.android.apps.maps
179,2022/07/15,Apps,10,1,No,Yes,com.samsung.android.app.appsedge
180,2022/07/19,The Hindu ePaper,30,2,Yes,No,com.epaper.thehindu.android
181,2022/07/18,Maps,5,2,Yes,No,com.google.android.apps.maps
182,2022/07/21,Pikashow,71,6,Yes,No,com.offshore.pikachu
183,2022/07/16,Maps,1088,17,Yes,No,com.google.android.apps.maps
184,2022/07/16,Phone calls,0,1,No,Yes,com.android.server.telecom
