"user",1,"category","videos_uploaded","views","rating",4,5
"mrpregnant",505,"Comedy",69,12683,4.28,252,44
"mrpregnant",541,"Comedy",932,160465,4.54,1294,2011
"mrpregnant",763,"Comedy",419,200489,4.18,1391,1615
"mrpregnant",554,"Comedy",300,15817,3.94,241,280
"breLloydvrnsst",1135,"Comedy",45,387,1.3,53,22
"AndaleTheGreat41",1135,"Comedy",14,221,1.56,32,7
"davoodnpussy",1135,"Comedy",47,251,1.47,51,19
"JamesNintendoNerd",1099,"Comedy",57,195618,4.86,2469,1581
"arthurhapsody",870,"Entertainment",425,29972,4.77,214,107
"Jirron",845,"Music",111,86731,4.69,447,290
"JamesNintendoNerd",1071,"Comedy",37,127743,4.77,1235,785
"JamesNintendoNerd",1114,"Comedy",54,92279,4.87,1446,746
"MasterOfCards",884,"Entertainment",200,75198,4.48,631,571
"JamesNintendoNerd",1009,"Entertainment",205,168148,4.81,2290,1465
"fabsbento",1123,"Comedy",545,949,5,8,5
"DukeNukem3DO",1029,"Entertainment",324,7895,3.86,90,65
"cloud8745",1121,"People & Blogs",508,6378,4.62,253,131
"UL05ST",1055,"Music",172,4483,4.35,20,19
"DinnerItBurns",1067,"Comedy",595,5399,4.6,72,55
"webjunkpoop",910,"Comedy",399,20256,4.34,111,83
"JamesNintendoNerd",969,"Comedy",706,175886,4.74,2989,1014
"vegeta273",876,"Comedy",419,21913,4.64,182,153
"vegeta273",906,"Comedy",414,10347,4.73,108,98
"SonicXisnow2009",1095,"Entertainment",597,736,5,4,2
"devttt",1135,"News & Politics",407,392,4.07,30,10
"2008freetibet",1131,"News & Politics",131,1853,3.53,36,23
,,,,,,,
"cmforum",1127,"News & Politics",178,19946,4.75,434,276
"Tibetan72",1135,"News & Politics",407,100,4.64,11,4
"journeymanpictures",996,"News & Politics",1044,1856,3.11,19,17
"mayyoubekind",1132,"News & Politics",433,807,1.7,40,23
"sonamsam23",1127,"News & Politics",250,1420,3.33,12,15
"kgb23lyc",1119,"News & Politics",64,1362,3.5,8,13
"UTEEngineer",1128,"News & Politics",579,25430,4.27,494,596
"squishydemon",1127,"News & Politics",46,1021,3,4,16
"TAIYOWHALE",1124,"News & Politics",156,20435,3.99,78,389
"HHK17",1133,"News & Politics",599,211,3.33,12,14
"sonamsam23",1127,"News & Politics",122,634,3.8,10,14
"NewsRevue",1127,"News & Politics",149,1458,3,7,33
"jijtube",1124,"News & Politics",130,33998,3.72,129,671
"bharatamata",1126,"News & Politics",129,4123,2.82,101,245
,,,,,,,
,,,,,,,
,,,,,,,
"FreeWingz",538,"Comedy",414,1263,4.2,50,58
"agentsmith21",772,"Music",241,331,4.67,9,19
"Bigbrando99",998,"Sports",131,4052,4.64,22,22
"live2bshiv",970,"Comedy",140,189,1,1,0
"chaseemery",975,"Music",282,1346,4.67,12,10
"mrules45",962,"Entertainment",43,600,2.25,12,12
"bucksdotcom",1052,"Sports",85,9191,5,19,16
"seeso",1004,"Music",166,7001,4.88,203,245
"AssociatedPress",1120,"News & Politics",82,9092,3.71,7,26
"ksalinda",707,"Sports",68,8630,5,6,29
