"user",1,"category","videos_uploaded","views","rating",4,5
"RicBNH",453,"Music",267,547524,4.81,1511,1059
"leepengyu",396,"Film & Animation",238,452822,4.82,1187,84
"mlestat2003",576,"Music",252,416840,4.57,663,647
"sonicat",548,"Music",348,182569,4.77,417,483
"RicBNH",430,"Music",220,315143,4.79,930,713
"RicBNH",425,"Music",297,458325,4.84,1339,570
"bellhydeist",640,"Music",276,47780,4.94,201,122
"ellebelle1988",1135,"People & Blogs",277,269,5,8,9
"aXXoJadie",1135,"People & Blogs",446,184,5,4,4
"Proceedwithcaution",1135,"People & Blogs",122,161,5,7,9
"MyLifeAsLiza",1134,"People & Blogs",45,202,5,5,2
"Aceswolf",1135,"People & Blogs",77,93,5,2,3
"FennixRisen",1135,"People & Blogs",240,77,5,5,3
"GymMidget415",1135,"People & Blogs",59,279,4.93,14,11
"mspulido4",1135,"People & Blogs",50,85,5,2,4
"soozfive",1135,"People & Blogs",108,117,4.76,17,12
"aXXoJadie",1136,"People & Blogs",533,9,0,0,3
"pipsipirate",1135,"People & Blogs",232,37,5,3,1
"squirt1993",1135,"People & Blogs",124,54,5,1,1
"hystericredcoat",1134,"People & Blogs",82,146,5,10,3
"emilineC",1135,"People & Blogs",84,187,5,12,9
"Orangehatten",1135,"People & Blogs",250,113,5,3,2
"becoolsodapop",1135,"People & Blogs",135,156,4.75,8,6
"timsbro2000",1134,"People & Blogs",92,128,5,10,6
"kirstenreads",1135,"People & Blogs",231,117,5,7,9
"NeedaCoolUsername",1134,"People & Blogs",6,27,5,1,1
"fiveawesomegirls",1091,"People & Blogs",245,10712,4.91,385,303
"TheOnion",1115,"News & Politics",82,73851,4.9,465,230
"TheOnion",1112,"News & Politics",174,71427,4.74,453,255
"Frozentoast",215,"Music",349,10172172,4.9,43774,29330
"TheOnion",1112,"Science & Technology",68,85602,4.76,678,768
"love0fmylife",1083,"Comedy",276,14123,1.4,93,69
"TheOnion",1115,"News & Politics",145,63027,4.9,749,279
"TheOnion",1108,"News & Politics",128,99680,4.81,684,428
"TheOnion",1116,"News & Politics",92,34879,4.69,215,84
"TheOnion",1091,"News & Politics",88,146497,4.62,394,556
"awesomechick520",484,"Music",119,7043921,4.86,17885,8064
"xsniped",330,"Music",297,4635992,4.91,13314,7919
"JAYSOMSEN",387,"Entertainment",212,4915513,4.91,17008,11093
"TheOnion",1107,"Science & Technology",115,43212,4.8,368,167
"VVasp",524,"Music",255,4226122,4.91,10512,5883
"TheOnion",1105,"News & Politics",164,100574,4.9,978,586
"ringostarrkicksass",285,"Entertainment",184,2488790,4.9,7243,5855
"TheOnion",1105,"News & Politics",111,70832,4.86,680,360
"horaciocambeiro",465,"Music",239,2995664,4.92,9592,4639
"KatrPictures",1112,"Entertainment",398,791855,3.29,475,309
"thecoroters",1124,"Comedy",126,99243,4.65,299,203
"WoodElf",343,"Entertainment",211,41574,4.41,80,42
"roy791202",834,"Film & Animation",347,239,5,1,0
"chrismagovern",364,"Film & Animation",116,128386,4.36,281,120
"AshantiReagansntta",1135,"Film & Animation",244,5,0,0,0
"radiotoronto",1071,"Music",269,218,5,1,0
"BlueAeon",1122,"Film & Animation",30,9,0,0,0
"jasoto",958,"Film & Animation",85,435,0,0,0
"bananartista",1103,"Film & Animation",129,1039,4,4,2
"jasoto",959,"Film & Animation",105,3050,2.33,3,0
"ilbon007musa",1019,"Music",318,2436,5,1,0
"tanner1227",968,"Entertainment",168,1496,4.33,15,29
"ShdwHg",1072,"Entertainment",137,43577,4.71,103,272
"smitty0205",1040,"Entertainment",374,1196,4.44,16,34
"HSN",821,"Entertainment",237,1050,4,1,0
"darkscifer",1095,"Entertainment",454,532,3.88,8,4
"cs1093",1066,"Entertainment",99,221,3,2,5
"Gr33nAv",1091,"Entertainment",368,8495,4.45,31,74
"IReMiXI3",1074,"Entertainment",172,265,5,4,6
"belld06",1061,"Entertainment",181,577,4.6,10,13
"jamezaye",1071,"Film & Animation",269,675,4.64,14,24
"listedabive",728,"Comedy",118,443146,4.75,600,206
"magicofcurtis",996,"Entertainment",165,13670,4.6,10,15
"hollywoodrecords",1018,"Music",62,222576,4.8,245,452
"doctorkong",755,"Music",218,788,5,1,1
"kipkay",1095,"Howto & Style",72,14413,5,26,21
"weshtv",1116,"News & Politics",104,10770,3.94,16,62
"BunkumBros",740,"Entertainment",143,112839,4,150,181
"Dou7g",893,"Entertainment",149,1178,3.75,8,3
"christianpalma",926,"Film & Animation",41,32279,4,5,1
"ShogunIllEmperor",909,"Sports",69,69,5,1,1
"sxmcguire",719,"Entertainment",222,9498,4.2,10,5
"blauwepiet",1021,"Entertainment",88,5134,4.5,10,7
"naledi81",0," UNA ",54,19678,4.6,10,3
"KelleyH",875,"People & Blogs",597,28193,4.42,38,27
"Lucky1406",622,"Entertainment",147,34662,4.56,41,29
"dekdog11",815,"Music",21,236,5,3,1
"YOUSUCKProductions",881,"Comedy",101,9899,3.87,15,8
"GravityEdgeMan",894,"Howto & Style",295,8734,5,6,5
"NewWarriorMan",937,"Entertainment",72,4753,3.33,30,1004
"NTDTV",1092,"News & Politics",105,1631,4.55,11,2
"xMUSICxxMISERYx",832,"Entertainment",242,1896,4.43,7,60
"threecheers",974,"Entertainment",190,503,5,7,4
"Stytched",909,"People & Blogs",297,3978,4.13,15,6
"tulachan",1004,"Music",234,11527,4.86,43,21
"Chrisizzle23",1013,"Comedy",188,18068,4.89,142,160
"josh3d2004",1125,"Entertainment",58,49909,4.15,96,143
"MitaGema",956,"Entertainment",365,32,0,0,0
"ernielunati",1085,"News & Politics",422,3710,1.67,6,4
"xxShadowChanxx",658,"Film & Animation",271,87343,4.81,450,186
"anonymoot333",958,"Entertainment",110,66315,4.17,789,723
"Anonigonz0",1133,"Nonprofits & Activism",569,109,5,7,5
"scottpricepwnsyou",1134,"Entertainment",130,30,0,0,0
"Cloudtan",1072,"Entertainment",49,26865,4.64,98,279
"daixoxo7",1104,"Music",222,526,4.67,6,6
"hallospacegirl1013",519,"Comedy",273,23009,4.82,191,142
"Lotusama",1093,"People & Blogs",499,1600,4.83,53,105
"josh3d2004",1122,"Comedy",177,1970,4.72,29,41
"casiotone1331",940,"Comedy",400,35009,4.87,337,315
"VYRALL",1116,"Film & Animation",270,272,5,6,2
"GoldenTotProductions",983,"Entertainment",57,1352,4.32,25,44
"itschriscrocker",1122,"Entertainment",128,1052410,3.48,12785,18443
"Blunty3000",1127,"Entertainment",18,34679,3.95,610,530
"itschriscrocker",1120,"Entertainment",116,1248802,3.33,12827,25155
"itschriscrocker",1116,"Comedy",94,1120648,2.47,12716,19161
"itschriscrocker",1121,"Entertainment",75,573473,3.19,6321,7791
"jamesthornwielder",1126,"Music",309,47869,2.01,360,611
"itschriscrocker",937,"Entertainment",131,18235463,2.42,122129,259683
"jamesthornwielder",1126,"Music",275,16605,1.54,180,220
"BIGFOOTBUBBA",1102,"Entertainment",29,21681,4.46,333,324
"SamTubeCOM",1127,"Entertainment",306,9433,5,1,31
"niardan",1125,"People & Blogs",22,15258,2.28,184,204
"itschriscrocker",1113,"Entertainment",117,1243037,2.78,10999,16319
"rmerax0r",947,"Entertainment",116,1256254,3.65,3251,6628
"DarrellLWright",1129,"News & Politics",551,750,5,9,7
"jgarcia19",1130,"News & Politics",60,250,4.5,2,12
"RidleyReport",1131,"News & Politics",335,397,4.88,26,19
"SOSOMEE",1130,"News & Politics",94,105,5,4,6
"obaidkarki",1130,"Comedy",199,158,5,10,0
"icsclean",1130,"News & Politics",600,113,0,0,0
"OSUMercutio",1129,"News & Politics",78,1056,4.56,9,47
"videocafeblog",1129,"News & Politics",322,1068,4.67,9,26
"1001BG",1129,"News & Politics",113,129,3,2,2
"wwlp",1130,"News & Politics",87,76,0,0,0
"videocafeblog",1129,"News & Politics",213,1788,4.62,8,17
"topnewsmakers",1129,"News & Politics",28,436,5,5,1
"pistileer",1132,"News & Politics",402,33,0,0,0
"wavy",1130,"News & Politics",106,27,0,0,0
"topnewsmakers",1130,"News & Politics",371,235,4,2,13
"bbcworldnews",1130,"News & Politics",73,210,5,3,0
"videocafeblog",1130,"News & Politics",279,314,4.5,8,2
"wesawthat",1129,"News & Politics",116,928,4.5,10,35
"jeckhard",1131,"Comedy",80,15,0,0,0
"bossmanfreak",1131,"News & Politics",98,96,5,1,1
"bnprenaissance",934,"News & Politics",280,5384,4.12,119,225
"BNPBloke",768,"News & Politics",285,1915,4.56,25,14
"bnprenaissance",1117,"News & Politics",211,2750,4.55,110,129
"politicsforuk",1028,"News & Politics",325,716,4.38,13,75
"twokeyalexe2",1071,"News & Politics",599,138,4.33,6,2
"Welshie58",1117,"News & Politics",245,103,4.2,5,0
"politicsforuk",938,"News & Politics",148,192,0,0,0
"TheirKingdomWillFall",807,"News & Politics",442,895,3.8,20,23
"Mircose",889,"News & Politics",347,404,3.4,5,14
"twokeyalexe2",1071,"News & Politics",296,43,5,1,0
"twokeyalexe2",1041,"News & Politics",152,346,5,4,18
"bnprenaissance",936,"News & Politics",170,456,4.33,12,9
"amromania",630,"People & Blogs",158,2105,4.38,29,49
"enochslad",954,"News & Politics",174,1956,4.51,35,65
"twokeyalexe2",1135,"News & Politics",203,224,1,1,0
"twokeyalexe2",1062,"News & Politics",380,425,3.67,9,9
"bnprenaissance",936,"News & Politics",117,267,4.33,6,3
"twokeyalexe2",1088,"News & Politics",185,141,5,5,6
"twokeyalexe2",1118,"News & Politics",211,209,3,4,0
"bnpquest",936,"News & Politics",280,1491,3.96,23,63
"ericielfenix",922,"News & Politics",590,20744,4.7,266,662
"CatalanPhoenix",1096,"News & Politics",88,9310,4.22,37,4492
"ericielfenix",922,"News & Politics",442,12680,4.8,250,569
"ericielfenix",922,"News & Politics",555,12904,4.89,211,346
"thePranker",772,"Travel & Events",358,3010296,3.44,37247,19461
"ericielfenix",922,"News & Politics",568,13474,4.79,217,330
"zpmiente",918,"News & Politics",336,6727,1.82,243,74
"Canal6Navarra",998,"News & Politics",102,766883,4.77,1522,6455
"ppcatalunya",1057,"News & Politics",156,87479,3.37,285,0
"kaejane",404,"Film & Animation",615,65341925,3.03,9189,5508
"Milienkov",639,"Entertainment",25,2544,3.77,26,38
"CatalanPhoenix",1102,"News & Politics",90,633,4.08,13,38
"5ilviaMC",1026,"News & Politics",255,227,5,3,1
"Diruncat",933,"News & Politics",116,2695,4.76,25,30
"spidermancat",767,"Entertainment",213,19467,3.8,255,1006
"Gerardpb2",1096,"News & Politics",44,712,2.2,5,12
"Azathyel",998,"News & Politics",157,135148,4.53,158,1191
"rabadan101",1115,"Howto & Style",32,336,5,5,26
"rtve",973,"News & Politics",2365,189406,4.62,1310,1531
"alcachon",1056,"News & Politics",157,30675,2.56,16,37
"nadiaubc",728,"Music",197,425672,4.86,556,250
"jgrandin1",1088,"Film & Animation",55,124229,4.43,468,570
"KatharineMcphee",877,"Music",182,1598694,4.65,4516,4887
"Lyonstomb",516,"Film & Animation",48,9378,3.54,26,13
"jgrandin1",1128,"Film & Animation",32,28530,4.51,156,166
"MrRenaissance",634,"Music",188,444308,4.88,907,393
"EA",986,"Entertainment",32,656275,4.46,1054,606
"kylie4ever",549,"Music",244,493706,4.87,1062,410
"TayZonday",796,"Music",292,16841569,4.23,83514,129200
"sliq1",328,"Music",330,106983,4.83,390,190
"chuwichuwi",1064,"Film & Animation",78,88091,4.78,159,68
"Scot90230",520,"Music",236,290947,4.89,859,285
"startcooking",1080,"Education",156,1369522,4.66,753,816
"jgrandin1",1084,"Film & Animation",127,479109,4.39,2121,1672
"samselthedamsel",636,"Film & Animation",269,500517,4.18,2807,2011
"hayleydaley",1083,"Education",377,332,3,2,0
"jgrandin1",843,"Comedy",121,50397,4.86,258,129
"jgrandin1",1122,"Comedy",177,27255,4.44,154,113
"nhaxonline",615,"Music",197,314843,4.9,493,234
"criscastillo",1115,"Music",260,4015,5,3,1
"VideosAlexCampos",1118,"Music",260,4324,5,5,8
"JulesRogerson",1126,"Music",260,328,5,1,0
"diegomaltaespinoza",769,"Music",391,142839,4.98,164,64
"AleOrganza",1132,"Entertainment",260,55,0,0,0
"anglikyhery",1129,"Music",260,118,5,1,3
"musicboom",722,"Music",320,323720,4.87,306,145
"EdgarSamuelAguilar",906,"People & Blogs",51,2769,4,1,1
"ifernand2007",1086,"Music",349,1799,5,3,3
"YanM",714,"Music",226,11508,3.67,3,2
"CarlosRGG",777,"Music",230,25167,4.69,16,5
"tigres55",980,"Music",327,3107,4,4,4
"abfunky",966,"Music",350,56978,4.91,54,12
"valmind39",1089,"Music",349,5254,4.91,11,6
"ZackScott",872,"Pets & Animals",183,230521,4.63,855,1899
"dannyo8",599,"Entertainment",283,480896,4.76,1607,1474
"ZackScott",1120,"Entertainment",503,38797,3.98,208,181
"ZackScott",823,"Comedy",174,1216031,4.13,6579,6489
"ZackScott",1128,"Pets & Animals",85,77607,3.77,514,870
"docjazz4",684,"Music",42,686418,4.79,2522,2587
"raw64life",404,"Entertainment",66,6618744,4.73,17739,14274
"GovernorWatts",779,"Entertainment",517,109999,4.76,655,359
"ZackScott",1107,"Pets & Animals",52,28601,4.58,202,151
"blankoboy",289,"Entertainment",381,130408,4.76,603,499
"rickst13",431,"Entertainment",125,654377,4.61,1911,1273
"laffer35",863,"Entertainment",600,463532,4.8,1563,2079
"ZackScott",545,"Comedy",21,57524,3.6,161,195
"pleomax",447,"Entertainment",116,490392,4.76,1234,740
"EricTucson",738,"Entertainment",158,78711,4.49,107,83
"TinWhistler",1005,"Music",255,679096,4.08,4918,3594
"ZackScott",1105,"Pets & Animals",133,26827,4.77,229,277
"Wii",639,"Entertainment",121,2523258,4.7,7359,7833
"G4TV",672,"Entertainment",138,718533,3.94,3073,1674
"ZackScott",718,"Entertainment",173,60419,4.71,630,499
"AuthorRDK",622,"People & Blogs",289,498,2.33,3,0
"partyier777",1130,"People & Blogs",40,9,0,0,0
"Adyshya",915,"Comedy",38,11,0,0,0
"videosLAV",902,"Entertainment",51,375,0,0,3
"CaiganMythFang",783,"Entertainment",574,7393,5,23,27
"soz88",568,"People & Blogs",12,63,0,0,0
"tuffsy46",834,"Entertainment",518,168,0,0,1
"alviarezjaac",805,"Comedy",64,55,5,1,0
"mikeyis",579,"Comedy",228,295,5,1,0
"chapulinxr",1111,"Education",75,73,5,1,2
"Allenh02",1000,"People & Blogs",60,438,5,3,1
"Wrathdemon",951,"Music",194,95,0,0,0
"chapulinxr",1111,"Comedy",141,46,0,0,0
"ceet33",788,"Entertainment",174,275,4.4,5,5
"matty0191",1131,"Comedy",172,50,0,0,1
"RFury",864,"Autos & Vehicles",625,3041,4.5,4,0
"JezMM",922,"Comedy",81,1206,4.74,31,16
"Fameforever",854,"Music",188,1519,5,8,1
"GwnythsPal",1069,"Film & Animation",59,148,0,0,0
"paulscrabz32",878,"People & Blogs",38,489,0,0,3
"notdavidlynch",1113,"Comedy",89,46659,3.99,290,143
"notdavidlynch",1113,"Comedy",137,19808,4.36,152,49
"notdavidlynch",1113,"Comedy",52,7269,4.21,53,21
"HighFlyingDutchman",1114,"Entertainment",76,1027,3.86,14,14
"notdavidlynch",1120,"Comedy",177,21342,4.58,214,103
"notdavidlynch",1113,"Comedy",71,5473,4.63,51,21
"kippoe",461,"Entertainment",150,453,3.75,4,1
"zoltai9",969,"Film & Animation",342,958,4.29,7,12
"docMango",962,"People & Blogs",503,608,5,1,0
"20alex",903,"Entertainment",64,6503,4.97,34,26
"videochick770",1128,"Film & Animation",113,1724,5,4,7
"gabrieleclub",1078,"Film & Animation",87,1604,3.33,3,0
"notdavidlynch",1113,"Comedy",16,787,4.19,16,0
"voytex86",1117,"Entertainment",494,1009,5,6,5
"60frames",1101,"Comedy",206,4263,4.97,29,17
"noabsolutes",517,"Entertainment",7,2853,4.33,3,0
"StorytellerMedia",1111,"Entertainment",227,31874,3.45,44,54
"notdavidlynch",1113,"Comedy",35,563,5,4,3
"wetvonrte",1122,"Music",116,4730,4.16,25,21
"KokoKaina",1032,"Music",183,663261,4.76,4422,4282
"seeso",944,"Music",224,1210197,4.21,6430,6304
"Isaacthompson",807,"Music",286,287468,4.35,1235,800
"Izzybella89",704,"Music",169,313541,4.47,2644,3013
"KokoKaina",1010,"Music",158,34765,4.92,425,416
"royse",591,"Music",204,439281,4.87,1200,1703
"LKS317",1058,"Music",326,7487,4.65,26,9
"qeqo23",1106,"Music",281,213114,4.37,418,318
"miaarose",683,"Music",248,1682470,4.67,8515,6094
"modernoracle",942,"Music",271,3350,4.82,233,265
"modernoracle",1018,"Music",25,1365,4.77,73,94
"zzzzzzzzap",906,"Music",143,252266,4.45,1576,1487
"ReinaDelCid",1088,"Music",167,21478,4.83,249,279
"capo420420",1040,"Music",234,10928,4.85,326,325
"skatefarmerftw",817,"Music",146,6996,4.67,36,42
"Toaana",860,"Music",169,341690,4.51,1943,2064
"modernoracle",993,"Music",523,999,4.84,89,115
"modernoracle",1117,"Music",597,3761,4.83,109,118
"pbneurogirl",937,"Music",170,1275,4.43,14,17
"isisip",852,"Music",158,11617,4.95,78,54
"Mastesto",1136,"Pets & Animals",642,247,2.94,17,54
"batermaster77",1135,"People & Blogs",213,755,4.75,4,6
"Jamanfilms",1129,"Entertainment",19,3944,3.67,6,2
"Jamanfilms",1129,"Entertainment",22,1407,5,5,2
"Jamanfilms",1129,"Entertainment",9,1959,2,8,3
"Jamanfilms",1129,"Entertainment",19,1747,3.4,5,5
"bihwiLoganqjrg",1135,"Music",32,373,3,2,1
"davoodnpussy",1135,"Music",142,587,2.5,14,5
"ernielunati",1135,"News & Politics",610,294,3,4,2
"ringtones1221",1135,"Music",24,179,1,3,1
"taiwanesemobster",1135,"Nonprofits & Activism",203,532,2.5,4,3
"taiwanesemobster",1136,"Nonprofits & Activism",125,61,0,0,0
,,,,,,,
"OhMyPadalecki",1134,"Entertainment",128,987,5,9,6
"jjfridge",1134,"Entertainment",123,1974,5,9,7
"julvett",1134,"Music",184,3957,4.9,48,41
,,,,,,,
"ralphm1999",1135,"Entertainment",291,561,4.82,11,8
"akersora",1135,"Entertainment",306,347,4.67,9,4
"keajgeiaibv",1135,"Music",206,535,4.75,16,10
"sora99252",1134,"Entertainment",80,1923,5,5,8
"davoodnpussy",1135,"Entertainment",48,51,0,0,0
"hotelangel",1135,"Entertainment",571,1657,4.44,18,33
"Madrosed",1135,"People & Blogs",648,3671,3.97,38,58
"arrestedtube",1135,"Music",579,277,5,2,0
"ernielunati",1135,"Comedy",87,59,0,0,0
"pennyccw",1091,"Sports",499,19557,4.78,40,78
"ToszeDysan",877,"Comedy",17,27348,3.59,29,35
"thelebronjamesblitz",1120,"Sports",74,1384,4,5,2
"kOrOne79",1122,"Sports",600,5093,4.85,40,47
"wookiielover",1134,"Music",128,10700,4.82,77,72
"kushtv",975,"Sports",312,6555,3.5,4,14
"kushtv",1054,"Sports",377,563,5,1,2
"kushtv",1056,"Sports",307,349,0,0,0
"kushtv",1053,"Sports",197,3728,5,1,4
"kushtv",988,"Sports",288,720,3.67,3,2
"kushtv",1053,"Sports",243,1371,5,2,2
"kushtv",1045,"Sports",234,780,5,2,1
"kushtv",1067,"Sports",146,864,5,2,1
"kushtv",1053,"Sports",126,530,5,1,2
"kushtv",1046,"Sports",165,341,5,1,0
"kushtv",1106,"Sports",120,4832,4.67,3,0
"kushtv",934,"Entertainment",142,2636,3.4,5,8
"kushtv",983,"Entertainment",92,3835,4,4,5
"kushtv",1032,"Sports",251,365,0,0,2
"kushtv",1056,"Sports",259,164,5,3,1
"kushtv",962,"Sports",269,10089,3.14,7,6
"kushtv",1127,"Sports",212,1880,3,1,2
"kushtv",1016,"Sports",345,417,3,2,1
"kushtv",967,"Sports",260,35709,3.14,28,11
"kushtv",996,"Sports",252,922,3,4,1
"recordpool",1133,"Music",243,1325,5,3,5
"youngkingz12",1134,"Music",227,1541,4.4,5,5
"Chaos33176",1098,"Entertainment",354,6860,4.6,5,29
"Chaos33176",1098,"Entertainment",75,1928,5,1,5
"ravi1992",1135,"Music",227,244,4.5,2,3
"Chaos33176",1116,"Entertainment",257,933,0,0,8
"8d193",1135,"Music",227,718,4.67,3,2
"lacesfashion",1135,"Music",227,512,5,1,5
"MadeByMee",1135,"Music",227,393,4,3,2
"bhzin08",1136,"Music",227,414,0,0,0
"lololi45",1134,"Music",227,117,5,1,1
"TopyFreeqtlnh",1135,"Music",227,222,5,1,2
"ringtones1221",1135,"Music",227,89,5,1,1
"soniajohnson",1087,"Entertainment",108,1204,5,3,5
"soniajohnson",1087,"Entertainment",68,844,5,1,0
"Chaos33176",1135,"Entertainment",174,228,0,0,7
"Chaos33176",1136,"Entertainment",25,62,0,0,0
"Wolfwood824",960,"Entertainment",492,914,5,4,2
"ZeromusX",935,"Entertainment",455,536,5,3,2
"ZaffireWolf",1053,"Comedy",606,1405,5,5,1
"paulpierce21",605,"Sports",13,632910,2.59,1162,1124
"NBA",1124,"Sports",142,253695,4.75,449,641
"NBA",1125,"Sports",123,221778,4.84,317,476
"NBA",1122,"Sports",133,208431,4.73,253,422
"NBA",1125,"Sports",132,203587,4.56,267,527
"NBA",1117,"Sports",129,242227,4.48,384,423
"NBA",1131,"Sports",134,189610,4.8,333,565
"NBA",1121,"Sports",134,273375,4.53,364,576
"NBA",1122,"Sports",111,139914,4.47,251,244
"NBA",1126,"Sports",115,178527,4.57,245,342
"NBA",1130,"Sports",125,218047,4.46,340,527
"NBA",1119,"Sports",131,183325,4.43,286,407
"NBA",1111,"Sports",140,209858,4.81,406,574
"NBA",1119,"Sports",125,231532,4.64,338,369
"NBA",1113,"Sports",133,217438,4.81,341,449
"NBA",1113,"Sports",124,167543,4.59,335,322
"NBA",1111,"Sports",133,231150,4.66,438,406
"NBA",1118,"Sports",132,207932,4.8,371,336
"NBA",1115,"Sports",130,109177,4.84,292,356
"NBA",1129,"Sports",135,117343,4.81,298,395
"InternationalGoalz",1135,"Sports",119,1906,3.67,3,0
,,,,,,,
"swaykg",1135,"Sports",44,10873,4.88,25,42
"Mill3",770,"Sports",9,2493,5,2,2
"mhf1029",770,"Sports",102,5066,4.8,10,5
"andr3sfc",770,"Sports",250,32131,4.74,19,13
"lucalciotv",1135,"Sports",83,4919,5,8,8
"jasonkarlmarx",1086,"Sports",94,56395,4.33,57,110
"celocrftv",937,"Sports",348,11186,4.44,9,23
"SteauaOnlineCom",721,"Sports",73,3678,4.83,12,5
"seoirse777",1087,"Sports",36,1148,0,0,0
"bl4ckw0rld",1027,"Sports",33,739,5,1,0
"faithful41720",1109,"Sports",21,328,5,2,1
"MrGhaa",1096,"Sports",48,253,0,0,0
"w1ll14m",1044,"Sports",180,3653,3,5,1
"MatijaR10",768,"Sports",43,3228,5,1,1
"KICKABOLAdotCOM",721,"Sports",152,19681,4.84,25,65
"cezo007",937,"Sports",30,7925,4.25,8,3
"kid76kid",1064,"Sports",49,338,0,0,2
"caffeinemetal",721,"Sports",73,2722,5,7,4
"pussycatdollsworld",1135,"Music",15,305,0,0,0
"samab15516",1133,"Entertainment",30,679,4,1,0
"digitalhoodlum",770,"Music",308,34395,4.61,61,63
"itesd5f51",1133,"Entertainment",29,288,0,0,0
"samabf281f",1132,"Entertainment",30,112,0,0,0
"rothiac80a1",1133,"Entertainment",30,207,0,0,0
"ildiwc026",1133,"Entertainment",30,157,0,0,0
"digitalhoodlum",770,"Music",332,14754,4.85,47,45
"altitudetv",1129,"Music",191,223,0,0,0
"digitalhoodlum",770,"Music",318,1436,5,1,1
"digitalhoodlum",770,"Music",208,960,3.5,2,2
"hollywoodtv",1128,"Entertainment",163,546,3.67,3,6
"kayvontv",870,"Comedy",228,14820,3.07,41,16
"playboy",764,"Entertainment",225,391060,2.46,528,4
"barelypolitical",1080,"News & Politics",90,3695341,3.37,4899,4164
"94melee",1081,"News & Politics",90,109155,3.77,144,146
"hansinfann",1085,"Entertainment",54,8106,4.67,3,5
"sbloob",1083,"News & Politics",74,4256,3.75,4,4
"obamaguy",1082,"News & Politics",10,3708,5,1,14
"AxiForum",1082,"Film & Animation",90,5720,3.67,6,7
"mrmoneyun",1080,"Entertainment",62,183,0,0,0
"XboxBrain",1087,"Entertainment",91,178,0,0,0
"secretsofwealth",1122,"News & Politics",91,82,0,0,0
"hansinfann",1085,"Entertainment",47,1271,1,1,1
"thizzbabi123",1047,"Music",264,12307,2.21,14,6
"mrdollarun",1080,"Entertainment",62,1679,0,0,0
"mrdollarun",1080,"Entertainment",62,1598,0,0,0
"mrdollarun",1080,"Entertainment",62,878,0,0,0
"mrdollarun",1080,"Entertainment",62,313,0,0,0
"mrmoneyun",1080,"Entertainment",62,445,0,0,0
"mrmoneyun",1080,"Entertainment",62,351,0,0,0
"mrdollarun",1080,"Entertainment",62,75,0,0,0
"mrmoneyun",1080,"Entertainment",62,78,0,0,0
"mrmoneyun",1080,"Entertainment",62,178,0,0,0
"bryan92i",1135,"Sports",92,4366,5,15,4
"bryan92i",1135,"Sports",146,1153,4.8,5,4
"francilienne",1135,"News & Politics",21,1245,5,4,5
"Hermann59310",1134,"Sports",228,39034,4.93,193,357
"lepiqueur",1135,"Sports",119,6682,5,18,19
"clay2nine",830,"Music",310,10778,4.29,14,3
"ODestre",997,"Sports",176,66,5,1,0
"allezpedro014",1135,"Sports",198,2865,5,5,7
"kamelihno",601,"Comedy",27,961,1,1,1
"faridouxjudoka",1111,"Sports",142,115,0,0,0
"IlyasRoma",1135,"Sports",234,4956,5,15,24
"NicolasBallais",575,"Film & Animation",124,2294,4.27,15,2
"Planetligue1",1135,"Sports",127,2142,5,6,4
"vodeotv",963,"News & Politics",36,53,0,0,0
"picken85",915,"Sports",68,189,0,0,0
"sportbf",1125,"Sports",53,608,0,0,0
"isforyoubaby",1110,"Film & Animation",262,107,0,0,0
"kemoidu92",835,"People & Blogs",121,50,0,0,0
"voiciolymp",787,"People & Blogs",75,96,0,0,0
"leclubmed",1135,"News & Politics",114,34,5,1,0
,,,,,,,
,,,,,,,
"cdbabyartist",1134,"Music",301,7672,4.93,69,60
"JayMike14",1134,"People & Blogs",122,3431,5,36,14
"wookiielover",1134,"Music",232,9601,4.89,65,61
"DaniiDeanwnsyuv",1135,"Music",197,1229,5,5,1
"julvett",1134,"Music",173,9094,4.92,76,81
,,,,,,,
,,,,,,,
"jrcrazy1",1134,"Music",123,3784,3.87,15,9
"LQLouie",1135,"Music",295,787,5,2,4
"OhMyPadalecki",1134,"Entertainment",232,657,5,2,3
"GabsLaneamyxm",1135,"News & Politics",124,209,0,0,1
"RichKid4life33",1135,"News & Politics",90,1065,4.29,7,31
,,,,,,,
"KingYayo",1134,"News & Politics",153,3331,2.77,40,34
"anticorruptos",1130,"News & Politics",446,7996,2.23,22,45
"HearTalent",1134,"News & Politics",323,1324,5,4,15
"systaime",1135,"News & Politics",47,493,4.5,4,4
"zabbabou",1135,"News & Politics",69,1042,2.29,14,11
"TomoRiordan2",1134,"News & Politics",116,1006,0,0,0
"memphisthug",1135,"News & Politics",133,248,5,3,3
"doyleshuler",1134,"News & Politics",116,324,0,0,0
"LuizArbore",1134,"News & Politics",116,209,5,1,0
"RosengrenTV",1134,"News & Politics",116,223,5,2,6
"007soldier",1135,"News & Politics",116,114,5,2,3
"phillipgatlin2000",1134,"News & Politics",116,369,3,2,1
"jackdoodle",1134,"News & Politics",116,1439,4.76,46,69
"studentloandebtnomor",1135,"News & Politics",124,202,5,2,6
"blacktreemedia",1054,"Education",484,82410,4.7,147,384
"blacktreemedia",1061,"Education",428,23787,4.79,94,96
"blacktreemedia",1075,"Education",452,16049,4.76,42,131
"blacktreemedia",1062,"Education",486,21222,4.74,73,159
"blacktreemedia",1073,"Education",476,15247,4.87,67,83
"LEEJUNGYOON",1132,"Music",112,4480,3.33,3,11
